Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1961","1961","ha","2259100","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1962","1962","ha","2176500","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1963","1963","ha","2538500","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1964","1964","ha","2360100","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1965","1965","ha","2429800","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1966","1966","ha","2641600","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1967","1967","ha","2818300","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1968","1968","ha","2781200","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1969","1969","ha","2858500","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1970","1970","ha","2936000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1971","1971","ha","2680000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1972","1972","ha","2676000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1973","1973","ha","2798900","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1974","1974","ha","2710000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1975","1975","ha","2770000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1976","1976","ha","2780000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1977","1977","ha","2911000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1978","1978","ha","2814000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1979","1979","ha","2802500","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1980","1980","ha","2647000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1981","1981","ha","2559000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1982","1982","ha","2388000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1983","1983","ha","2143100","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1984","1984","ha","2107000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1985","1985","ha","2255500","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1986","1986","ha","2098000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1987","1987","ha","1975000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1988","1988","ha","1863000","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1989","1989","ha","1834432","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1990","1990","ha","1758400","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1991","1991","ha","1741926","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1992","1992","ha","1789692","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1993","1993","ha","1604084","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1994","1994","ha","1385623","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1995","1995","ha","1366041","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1996","1996","ha","1511701","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1997","1997","ha","1662199","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1998","1998","ha","1599968","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","1999","1999","ha","1500444","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","2000","2000","ha","1533848","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","2001","2001","ha","1704742","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","2002","2002","ha","1641074","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","2003","2003","ha","1758772","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","2004","2004","ha","1630781","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","2005","2005","ha","1602434","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","2006","2006","ha","1667310","","Official data"
"QCL","Crops and livestock products","68","France","5312","Area harvested","44","Barley","2007","2007","ha","1698687","","Official data"
